week_num,avg_temp,city,country,lat,lon
10,4.99,London,United Kingdom,51.52,-0.11
10,3.89,Dublin,Ireland,53.33,-6.25
11,7.49,Dublin,Ireland,53.33,-6.25
11,-6.93,Irkutsk,Russia,52.27,104.33
11,7.76,Bremen,Germany,53.08,8.8
11,1.71,Minsk,Belarus,53.9,27.57
11,8.39,Rio Gallegos,Argentina,-51.63,-69.22
11,7.99,Berlin,Germany,52.52,13.4
11,6.34,Krakau,Poland,50.08,19.92
11,7.84,Birmingham,United Kingdom,52.49,-1.86
11,8.41,Amsterdam,Netherlands,52.37,4.89
11,-10.96,Saskatoon,Canada,52.13,-106.67
11,8.94,London,United Kingdom,51.52,-0.11
12,7.34,Minsk,Belarus,53.9,27.57
12,10.13,London,United Kingdom,51.52,-0.11
12,9.56,Krakau,Poland,50.08,19.92
12,8.61,Bremen,Germany,53.08,8.8
12,8.5,Dublin,Ireland,53.33,-6.25
12,-9.43,Saskatoon,Canada,52.13,-106.67
12,-9.43,Irkutsk,Russia,52.27,104.33
12,9.44,Amsterdam,Netherlands,52.37,4.89
12,9.36,Berlin,Germany,52.52,13.4
12,9.57,Rio Gallegos,Argentina,-51.63,-69.22
12,8.31,Birmingham,United Kingdom,52.49,-1.86
13,0.99,Minsk,Belarus,53.9,27.57
13,7.69,Birmingham,United Kingdom,52.49,-1.86
13,7.2,Rio Gallegos,Argentina,-51.63,-69.22
13,6.61,Berlin,Germany,52.52,13.4
13,-0.66,Irkutsk,Russia,52.27,104.33
13,6.53,Bremen,Germany,53.08,8.8
13,7.54,Amsterdam,Netherlands,52.37,4.89
13,-8.74,Saskatoon,Canada,52.13,-106.67
13,8.51,Dublin,Ireland,53.33,-6.25
13,8.9,London,United Kingdom,51.52,-0.11
13,5.56,Krakau,Poland,50.08,19.92
14,4.73,Berlin,Germany,52.52,13.4
14,1.93,Krakau,Poland,50.08,19.92
14,4.81,Minsk,Belarus,53.9,27.57
14,7.43,Birmingham,United Kingdom,52.49,-1.86
14,8.59,Dublin,Ireland,53.33,-6.25
