week_num,avg_temp,city,country,lat,lon
50,0.41,London,United Kingdom,51.52,-0.11
50,-3.83,Berlin,Germany,52.52,13.4
50,-0.8,Amsterdam,Netherlands,52.37,4.89
50,-15.84,Saskatoon,Canada,52.13,-106.67
50,-5.6,Krakau,Poland,50.08,19.92
51,8.37,Amsterdam,Netherlands,52.37,4.89
51,4.69,Berlin,Germany,52.52,13.4
51,-23.9,Saskatoon,Canada,52.13,-106.67
51,-2.66,Minsk,Belarus,53.9,27.57
51,0.16,Krakau,Poland,50.08,19.92
51,14.46,Rio Gallegos,Argentina,-51.63,-69.22
51,-15.36,Irkutsk,Russia,52.27,104.33
51,8.47,Dublin,Ireland,53.33,-6.25
51,9.7,London,United Kingdom,51.52,-0.11
51,6.59,Bremen,Germany,53.08,8.8
51,8.26,Birmingham,United Kingdom,52.49,-1.86
52,8.36,Berlin,Germany,52.52,13.4
52,11.2,Rio Gallegos,Argentina,-51.63,-69.22
52,9.33,London,United Kingdom,51.52,-0.11
52,0.56,Minsk,Belarus,53.9,27.57
52,-21.4,Irkutsk,Russia,52.27,104.33
52,9.07,Amsterdam,Netherlands,52.37,4.89
52,7.33,Dublin,Ireland,53.33,-6.25
52,8.47,Bremen,Germany,53.08,8.8
52,7.46,Birmingham,United Kingdom,52.49,-1.86
52,5.21,Krakau,Poland,50.08,19.92
52,-16.44,Saskatoon,Canada,52.13,-106.67
